"motif","tfs"
"MA0002.2","RUNX1"
"MA0003.3","TFAP2A"
"MA0004.1","ARNT"
"MA0006.1","AHR"
"MA0006.1","ARNT"
"MA0007.3","AR"
"MA0009.2","T"
"MA0014.2","PAX5"
"MA0017.2","NR2F1"
"MA0018.2","CREB1"
"MA0019.1","DDIT3"
"MA0019.1","CEBPA"
"MA0024.3","E2F1"
"MA0025.1","NFIL3"
"MA0027.2","EN1"
"MA0028.2","ELK1"
"MA0029.1","MECOM"
"MA0030.1","FOXF2"
"MA0031.1","FOXD1"
"MA0032.2","FOXC1"
"MA0033.2","FOXL1"
"MA0035.3","GATA1"
"MA0036.2","GATA2"
"MA0037.2","GATA3"
"MA0038.1","GFI1"
"MA0039.2","KLF4"
"MA0040.1","FOXQ1"
"MA0041.1","FOXD3"
"MA0042.2","FOXI1"
"MA0043.2","HLF"
"MA0046.2","HNF1A"
"MA0047.2","FOXA2"
"MA0048.2","NHLH1"
"MA0050.2","IRF1"
"MA0051.1","IRF2"
"MA0052.3","MEF2A"
"MA0056.1","MZF1"
"MA0057.1","MZF1"
"MA0058.3","MAX"
"MA0059.1","MAX"
"MA0059.1","MYC"
"MA0060.2","NFYA"
"MA0062.2","GABPA"
"MA0063.1","NKX2-5"
"MA0065.2","PPARG"
"MA0065.2","RXRA"
"MA0066.1","PPARG"
"MA0067.1","PAX2"
"MA0068.2","PAX4"
"MA0069.1","PAX6"
"MA0070.1","PBX1"
"MA0071.1","RORA"
"MA0072.1","RORA"
"MA0073.1","RREB1"
"MA0074.1","RXRA"
"MA0074.1","VDR"
"MA0075.2","PRRX2"
"MA0076.2","ELK4"
"MA0077.1","SOX9"
"MA0078.1","SOX17"
"MA0079.3","SP1"
"MA0080.4","SPI1"
"MA0081.1","SPIB"
"MA0083.3","SRF"
"MA0084.1","SRY"
"MA0087.1","SOX5"
"MA0088.2","ZNF143"
"MA0089.1","MAFG"
"MA0089.1","NFE2L1"
"MA0090.2","TEAD1"
"MA0091.1","TAL1"
"MA0091.1","TCF3"
"MA0092.1","HAND1"
"MA0092.1","TCF3"
"MA0093.2","USF1"
"MA0095.2","YY1"
"MA0098.3","ETS1"
"MA0099.2","FOS"
"MA0099.2","JUN"
"MA0100.2","MYB"
"MA0101.1","REL"
"MA0102.3","CEBPA"
"MA0103.2","ZEB1"
"MA0104.3","MYCN"
"MA0105.4","NFKB1"
"MA0106.3","TP53"
"MA0107.1","RELA"
"MA0108.2","TBP"
"MA0109.1","HLTF"
"MA0111.1","SPZ1"
"MA0112.3","ESR1"
